"date","fremont_bridge_nb","fremont_bridge_sb"
"2015-07-06T07:00:00.000","288","116"
"2015-07-01T04:00:00.000","9","4"
"2015-07-28T15:00:00.000","72","109"
"2015-07-16T13:00:00.000","42","69"
"2015-07-16T20:00:00.000","88","85"
"2015-07-14T20:00:00.000","73","115"
"2015-07-05T09:00:00.000","51","52"
"2015-07-19T05:00:00.000","9","6"
"2015-07-19T23:00:00.000","10","16"
"2015-07-20T06:00:00.000","103","59"
"2015-07-05T03:00:00.000","0","1"
"2015-07-11T11:00:00.000","66","69"
"2015-07-12T14:00:00.000","108","104"
"2015-07-04T23:00:00.000","74","101"
"2015-07-23T11:00:00.000","52","59"
"2015-07-20T13:00:00.000","52","51"
"2015-07-27T05:00:00.000","22","13"
"2015-07-04T14:00:00.000","87","71"
"2015-07-18T01:00:00.000","1","8"
"2015-07-11T18:00:00.000","62","41"
"2015-07-08T01:00:00.000","10","5"
"2015-07-05T17:00:00.000","48","39"
"2015-07-01T18:00:00.000","163","329"
"2015-07-06T17:00:00.000","180","471"
"2015-07-12T02:00:00.000","4","10"
"2015-07-08T08:00:00.000","373","210"
"2015-07-09T03:00:00.000","2","3"
"2015-07-17T12:00:00.000","47","52"
"2012-11-17T07:00:00.000","12","12"
"2015-07-04T00:00:00.000","12","10"
"2015-07-07T15:00:00.000","69","96"
"2015-07-21T13:00:00.000","60","41"
"2015-07-23T13:00:00.000","61","61"
"2015-07-12T12:00:00.000","91","84"
"2015-07-15T09:00:00.000","175","113"
"2015-07-27T11:00:00.000","52","36"
"2015-07-31T18:00:00.000","115","207"
"2012-11-17T16:00:00.000","20","20"
"2015-07-07T13:00:00.000","52","55"
"2015-07-02T18:00:00.000","129","232"
"2015-07-22T11:00:00.000","48","62"
"2015-07-06T14:00:00.000","60","62"
"2015-07-04T08:00:00.000","75","61"
"2015-07-26T07:00:00.000","20","18"
"2015-07-30T19:00:00.000","120","158"
"2015-07-10T06:00:00.000","89","50"
"2015-07-25T05:00:00.000","3","6"
"2015-07-25T22:00:00.000","12","15"
"2015-07-04T04:00:00.000","3","0"
"2015-07-25T02:00:00.000","9","1"
"2015-07-22T03:00:00.000","1","0"
"2012-11-18T06:00:00.000","3","3"
"2015-07-23T06:00:00.000","117","58"
"2015-07-12T00:00:00.000","14","11"
"2015-07-01T17:00:00.000","212","508"
"2015-07-20T03:00:00.000","3","2"
"2015-07-02T19:00:00.000","71","108"
"2015-07-04T19:00:00.000","52","62"
"2015-07-15T23:00:00.000","9","22"
"2015-07-12T04:00:00.000","2","5"
"2015-07-15T20:00:00.000","72","104"
"2015-07-02T13:00:00.000","47","48"
"2015-07-06T13:00:00.000","47","54"
"2012-11-18T18:00:00.000","6","6"
"2015-07-12T19:00:00.000","49","45"
"2015-07-29T22:00:00.000","36","36"
"2015-07-06T10:00:00.000","58","52"
"2015-07-30T07:00:00.000","271","145"
"2015-07-13T06:00:00.000","102","55"
"2015-07-26T18:00:00.000","35","46"
"2015-07-14T21:00:00.000","56","57"
"2012-11-19T02:00:00.000","1","1"
"2015-07-26T14:00:00.000","109","63"
"2012-11-19T04:00:00.000","4","4"
"2015-07-28T12:00:00.000","45","54"
"2015-07-13T04:00:00.000","5","1"
"2015-07-31T10:00:00.000","62","62"
"2015-07-18T04:00:00.000","1","10"
"2015-07-06T01:00:00.000","4","3"
"2015-07-13T09:00:00.000","139","106"
"2015-07-24T15:00:00.000","68","94"
"2012-11-19T12:00:00.000","9","9"
"2015-07-02T10:00:00.000","75","51"
"2015-07-28T22:00:00.000","31","44"
"2015-07-09T16:00:00.000","129","221"
"2015-07-28T09:00:00.000","184","122"
"2015-07-20T08:00:00.000","383","180"
"2015-07-30T06:00:00.000","107","59"
"2015-07-14T23:00:00.000","20","14"
"2015-07-25T20:00:00.000","31","31"
"2015-07-29T03:00:00.000","2","1"
"2015-07-13T00:00:00.000","4","7"
"2015-07-25T09:00:00.000","29","25"
"2015-07-16T09:00:00.000","172","103"
"2015-07-06T08:00:00.000","368","167"
"2015-07-23T12:00:00.000","44","56"
"2015-07-23T15:00:00.000","95","103"
"2015-07-31T04:00:00.000","4","5"
"2015-07-15T14:00:00.000","48","75"
"2015-07-18T14:00:00.000","89","87"
"2015-07-24T03:00:00.000","1","2"
"2015-07-05T13:00:00.000","82","71"
"2015-07-20T04:00:00.000","6","3"
"2015-07-24T10:00:00.000","66","43"
"2015-07-18T06:00:00.000","12","17"
"2015-07-01T02:00:00.000","2","7"
"2015-07-31T03:00:00.000","2","0"
"2015-07-22T09:00:00.000","189","138"
"2015-07-28T00:00:00.000","6","7"
"2015-07-26T11:00:00.000","71","76"
"2015-07-20T19:00:00.000","93","163"
"2015-07-05T10:00:00.000","64","69"
"2015-07-07T03:00:00.000","3","4"
"2015-07-03T20:00:00.000","40","44"
"2015-07-15T05:00:00.000","27","23"
"2015-07-01T13:00:00.000","57","48"
"2015-07-13T22:00:00.000","35","25"
"2015-07-03T22:00:00.000","35","34"
"2015-07-13T17:00:00.000","182","452"
"2015-07-12T06:00:00.000","6","7"
"2012-11-21T03:00:00.000","1","1"
"2015-07-19T00:00:00.000","8","22"
"2015-07-11T04:00:00.000","15","36"
"2015-07-22T21:00:00.000","38","60"
"2015-07-29T02:00:00.000","1","4"
"2015-07-25T18:00:00.000","54","34"
"2015-07-11T17:00:00.000","81","63"
"2015-07-19T15:00:00.000","80","60"
"2015-07-15T03:00:00.000","4","2"
"2015-07-29T15:00:00.000","76","76"
"2015-07-27T00:00:00.000","4","6"
"2015-07-21T04:00:00.000","4","5"
"2015-07-29T19:00:00.000","96","181"
"2015-07-22T15:00:00.000","81","111"
"2015-07-19T03:00:00.000","6","0"
"2015-07-21T03:00:00.000","1","4"
"2015-07-16T00:00:00.000","11","8"
"2015-07-02T01:00:00.000","5","4"
"2015-07-09T18:00:00.000","173","306"
"2015-07-02T03:00:00.000","2","3"
"2015-07-01T00:00:00.000","7","7"
"2015-07-01T15:00:00.000","75","85"
"2015-07-03T15:00:00.000","77","56"
"2015-07-17T08:00:00.000","322","148"
